EX_1   {'nbox': [204.62308, 146.70651, 298.29614, 223.34375], 'question': 'Make TV bigger.\n', 'target': 'tv_0', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg'}
EX_2   {'nbox': [204.0, 146.0, 298.0, 223.0], 'question': 'Make TV smaller.\n', 'target': 'tv_0', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg'}
EX_3   {'nbox': [203.0, 145.0, 298.0, 223.0], 'question': 'Move the left photoframe to the leftside\n', 'target': 'photoframe_0', 'original_bbox': array([203.698  , 145.98677, 298.7795 , 223.84978], dtype=float32), 'i_name': 'img_0.jpeg'}
EX_4   {'nbox': [203.0, 145.0, 298.0, 223.0], 'question': 'Move the left photoframe to the rightside\n', 'target': 'photoframe_0', 'original_bbox': array([203.68211, 145.8596 , 298.8599 , 223.93477], dtype=float32), 'i_name': 'img_0.jpeg'}
EX_5   {'nbox': [204.0, 136.0, 298.0, 213.0], 'question': 'Move the left photoframe upside\n', 'target': 'photoframe_0', 'original_bbox': array([204.01694, 146.3281 , 298.47958, 223.52591], dtype=float32), 'i_name': 'img_0.jpeg'}
EX_6   {'nbox': [204.0, 146.0, 298.0, 223.0], 'question': 'Move the left photoframe downside.\n', 'target': 'photoframe_0', 'original_bbox': array([204.01694, 146.3281 , 298.47958, 223.52591], dtype=float32), 'i_name': 'img_0.jpeg'}
EX_7   {'nbox': [204.0, 146.0, 298.0, 223.0], 'question': 'Move the left photoframe diagonally up to the leftside\n', 'target': 'photoframe_0', 'original_bbox': array([204.01694, 146.3281 , 298.47958, 223.52591], dtype=float32), 'i_name': 'img_0.jpeg'}
EX_8   {'nbox': [204.0, 146.0, 298.0, 223.0], 'question': 'Move the left photoframe diagonally up to the right\n', 'target': 'photoframe_0', 'original_bbox': array([204.01694, 146.3281 , 298.47958, 223.52591], dtype=float32), 'i_name': 'img_0.jpeg'}
EX_9   {'nbox': [203.0, 146.0, 298.0, 223.0], 'question': 'Move the left photoframe diagonally down to the leftside\n', 'target': 'leftphotoframe_0', 'original_bbox': array([203.8761 , 146.25543, 298.65393, 223.64963], dtype=float32), 'i_name': 'img_0.jpeg'}
EX_10   {'nbox': [204.0, 146.0, 298.0, 223.0], 'question': 'Move the left photoframe diagonally down to the right.\n', 'target': 'photoframe_0', 'original_bbox': array([204.01694, 146.3281 , 298.47958, 223.52591], dtype=float32), 'i_name': 'img_0.jpeg'}
EX_11EX_12   {'nbox': [204.0, 146.0, 299.0, 224.0], 'question': 'Move the left photoframe to the leftside by 20px.\n', 'target': 'photoframe_0', 'original_bbox': array([204.01694, 146.3281 , 298.47958, 223.52591], dtype=float32), 'i_name': 'img_0.jpeg'}
EX_13   {'nbox': [204.0, 146.0, 298.0, 223.0], 'question': 'Halve the size of the TV.\n', 'target': 'tv_0', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg'}
EX_14   {'nbox': [41.0, 267.0, 129.0, 428.0], 'question': 'Make drawer bigger.\n', 'target': 'drawer_0', 'original_bbox': array([ 41.74791, 267.1631 , 129.38188, 428.44324], dtype=float32), 'i_name': 'img_1.jpeg'}
EX_15   {'nbox': [41.0, 267.0, 129.0, 428.0], 'question': 'Make drawer smaller.\n', 'target': 'drawer_0', 'original_bbox': array([ 41.74791, 267.1631 , 129.38188, 428.44324], dtype=float32), 'i_name': 'img_1.jpeg'}
EX_16   {'nbox': [261.06046, 65.78458, 312.0159, 163.50755], 'question': 'Move the frame to the leftside.\n', 'target': 'frame_0', 'original_bbox': array([261.06046,  65.78458, 312.0159 , 163.50755], dtype=float32), 'i_name': 'img_1.jpeg'}
EX_17   {'nbox': [261.2345, 65.84085, 312.0547, 163.45241], 'question': 'Move the frame to the rightside.\n', 'target': 'frame_0', 'original_bbox': array([261.2345 ,  65.84085, 312.0547 , 163.45241], dtype=float32), 'i_name': 'img_1.jpeg'}
EX_18   {'nbox': [261.0, 65.0, 312.0, 163.0], 'question': 'Move the frame upside.\n', 'target': 'frame_0', 'original_bbox': array([261.2345 ,  65.84085, 312.0547 , 163.45241], dtype=float32), 'i_name': 'img_1.jpeg'}
EX_19   {'nbox': [261.0, 65.0, 312.0, 163.0], 'question': 'Move the frame downside.\n', 'target': 'frame_0', 'original_bbox': array([261.2345 ,  65.84085, 312.0547 , 163.45241], dtype=float32), 'i_name': 'img_1.jpeg'}
