EX_0
0   {'nbox': [204.0, 146.0, 350.0, 275.0], 'question': 'Increase the size of the TV.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
2   {'nbox': [204.0, 146.0, 298.0, 223.0], 'question': 'Increase the size of the TV.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
3   {'nbox': [204.0, 147.0, 299.0, 223.0], 'question': 'Increase the size of the TV.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
4   {'nbox': [204.0, 146.0, 298.0, 223.0], 'question': 'Increase the size of the TV.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
5   {'nbox': [204.0, 147.0, 298.0, 223.0], 'question': 'Increase the size of the TV.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
6   {'nbox': [204.0, 147.0, 298.0, 223.0], 'question': 'Increase the size of the TV.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
7   {'nbox': [204.0, 147.0, 298.0, 223.0], 'question': 'Increase the size of the TV.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
8   {'nbox': [204.0, 146.0, 298.0, 223.0], 'question': 'Increase the size of the TV.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
9   {'nbox': [204.62308, 146.70651, 298.29614, 223.34375], 'question': 'Increase the size of the TV.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
10   {'nbox': [204.0, 147.0, 298.0, 223.0], 'question': 'Increase the size of the TV.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
11   {'nbox': [204.0, 146.0, 298.0, 223.0], 'question': 'Increase the size of the TV.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
12   {'nbox': [203.0, 146.0, 299.0, 224.0], 'question': 'Increase the size of the TV.\n', 'original_bbox': array([203.7052 , 146.21419, 298.964  , 223.76158], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'sizeofthetv_0'}
12   {'nbox': [281.0, 328.0, 318.0, 376.0], 'question': 'Increase the size of the TV.\n', 'original_bbox': array([281.3259 , 328.0833 , 317.59085, 375.5409 ], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'sizeofthetv_1'}
13   {'nbox': [204.0, 146.0, 405.0, 368.0], 'question': 'Increase the size of the TV.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
14   {'nbox': [204.0, 146.0, 298.0, 223.0], 'question': 'Increase the size of the TV.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
EX_1
0   {'nbox': [137.0, 98.0, 365.0, 271.0], 'question': 'Make TV bigger.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
1   {'nbox': [204.0, 147.0, 298.0, 223.0], 'question': 'Make TV bigger.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
2   {'nbox': [204.0, 147.0, 298.0, 223.0], 'question': 'Make TV bigger.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
3   {'nbox': [204.0, 147.0, 299.0, 223.0], 'question': 'Make TV bigger.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
4   {'nbox': [204.0, 146.0, 298.0, 223.0], 'question': 'Make TV bigger.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
5   {'nbox': [204.0, 147.0, 298.0, 223.0], 'question': 'Make TV bigger.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
6   {'nbox': [162.0, 117.0, 341.0, 253.0], 'question': 'Make TV bigger.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
7   {'nbox': [204.0, 146.0, 298.0, 223.0], 'question': 'Make TV bigger.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
8   {'nbox': [204.0, 147.0, 298.0, 223.0], 'question': 'Make TV bigger.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
9   {'nbox': [204.0, 147.0, 298.0, 223.0], 'question': 'Make TV bigger.\n', 'original_bbox': array([204.62308, 146.70651, 298.29614, 223.34375], dtype=float32), 'i_name': 'img_0.jpeg', 'target': 'tv_0'}
